,trade_date,close,open,high,low,vol
6235,19980728,1317.946,1321.634,1324.274,1313.202,3401691.0
6236,19980727,1321.899,1328.336,1328.727,1314.732,3954971.0
6237,19980724,1326.821,1317.848,1330.492,1317.848,4109076.0
6238,19980723,1316.271,1299.217,1316.285,1299.154,4108168.0
6239,19980722,1299.148,1312.226,1312.365,1295.614,3494924.0
6240,19980721,1313.01,1285.785,1318.934,1284.798,4077168.0
6241,19980720,1287.073,1311.059,1311.153,1278.301,4853887.0
6242,19980717,1314.715,1325.88,1330.816,1311.754,5126150.0
6243,19980716,1325.633,1335.299,1337.641,1317.886,4355452.0
6244,19980715,1335.466,1332.412,1341.642,1326.324,4335965.0
6245,19980714,1336.558,1360.614,1361.186,1334.707,5156275.0
6246,19980713,1358.813,1362.688,1362.997,1352.157,4795185.0
6247,19980710,1360.619,1344.749,1360.642,1344.634,5297925.0
6248,19980709,1343.232,1341.354,1344.431,1336.66,3988182.0
6249,19980708,1338.984,1326.817,1339.16,1326.625,3452984.0
6250,19980707,1324.4,1313.649,1324.405,1307.907,3515220.0
6251,19980706,1315.283,1339.261,1339.678,1313.276,4627863.0
6252,19980703,1335.125,1335.836,1341.73,1327.797,5450636.0
6253,19980702,1331.65,1314.1,1331.652,1296.997,4845889.0
6254,19980701,1316.441,1363.265,1367.147,1315.184,5550416.0
6255,19980630,1339.202,1360.615,1363.59,1335.212,3810656.0
6256,19980629,1361.432,1387.024,1387.192,1356.216,6015491.0
6257,19980626,1385.618,1383.29,1388.554,1376.406,10178135.0
6258,19980625,1382.036,1402.952,1404.049,1377.177,5065461.0
6259,19980624,1401.742,1399.708,1402.138,1390.855,6315300.0
6260,19980623,1397.956,1398.238,1398.706,1385.452,6393473.0
6261,19980622,1399.356,1400.468,1401.511,1392.056,6433844.0
6262,19980619,1392.878,1376.194,1392.878,1376.194,5359102.0
6263,19980618,1370.685,1352.235,1372.12,1352.235,5243717.0
6264,19980617,1348.942,1349.003,1356.662,1344.444,5131605.0
6265,19980616,1348.588,1362.591,1362.593,1323.528,5929275.0
6266,19980615,1365.341,1385.327,1386.985,1359.876,5488431.0
6267,19980612,1383.388,1373.11,1383.466,1365.083,5425097.0
6268,19980611,1347.677,1367.555,1371.152,1346.069,4239517.0
6269,19980610,1368.297,1367.741,1377.834,1359.392,5355221.0
6270,19980609,1369.65,1400.347,1400.347,1357.465,7226897.0
6271,19980608,1403.73,1411.956,1415.18,1401.055,6688325.0
6272,19980605,1408.614,1404.075,1414.362,1390.632,7567916.0
6273,19980604,1406.303,1420.986,1422.979,1402.746,7636490.0
6274,19980603,1420.0,1415.019,1421.121,1413.112,8558169.0
6275,19980602,1413.08,1419.221,1419.577,1402.625,7950942.0
6276,19980601,1415.575,1418.354,1420.553,1411.061,9839901.0
6277,19980529,1411.206,1402.675,1411.347,1402.018,9508796.0
6278,19980528,1397.895,1402.853,1405.582,1392.9,8308787.0
6279,19980527,1399.542,1393.738,1399.542,1390.55,8827416.0
6280,19980526,1390.416,1392.75,1394.439,1383.759,8752337.0
6281,19980525,1389.366,1380.126,1389.656,1376.201,10706885.0
6282,19980522,1375.817,1371.365,1379.891,1370.72,8001902.0
